Transaction ID,Customer ID,Item ID(s),Transaction Type,Transaction Date/Time,Total Transaction Amount,Payment Method,Employee ID,Comments/Notes
1475,6154,5915,Sell,2022-12-03 13:42:11,835.53,Debit Card,1302,"Some teacher beautiful. Kind speech born purpose them letter sit.
Situation administration go responsibility onto short by. Country medical read art soldier certain add short."
6819,139,2310,Sell,2024-03-01 01:21:28,796.86,Cash,558,Image oil go heart explain reach. Ask music imagine those. Agreement year wish animal. Top rock whatever beautiful inside might.
1399,8118,8010,Pawn,2021-05-07 01:03:09,51.42,Credit Card,3542,"Bad guy pay more realize see. Get support window many.
Attorney for lot style together from degree. Feel beautiful small authority way but. Identify pay reality scientist require."
9655,4294,4394,Redeem,2022-06-13 21:34:22,356.7,Debit Card,5380,"Dark foot reality. Indeed four upon win.
Dinner effort never. Practice important drive inside. Throw act four source owner research purpose avoid.
Another yeah learn which want leg break."
4125,8432,8285,Buy,2022-02-06 23:00:36,376.21,Debit Card,6398,Suggest determine blue evening. Cause matter ahead make threat unit. Hold detail individual artist seem successful product. Similar green paper rate very city.
5987,3091,9221,Redeem,2021-09-04 09:22:10,618.81,Credit Card,6076,"Me dinner other party certain. Draw throw you recognize.
Consider clearly source economy action. Brother head region.
Range near your year last. Size baby together themselves hit close story."
6772,1361,8751,Buy,2022-03-25 03:14:56,132.66,Debit Card,9235,Democrat now century song. Environment relationship simply control yet nice.
7069,6592,6788,Redeem,2022-05-14 11:17:31,862.6,Debit Card,3202,"Power several language beyond.
Brother behavior south stuff traditional see. Red whose thought.
Those media bill situation. Yes score relationship various result."
7502,481,3802,Pawn,2023-02-03 12:22:35,783.05,Cash,8379,Whose first first president car sell less. Lead most sing give. Paper of experience center.
4230,3921,9871,Buy,2022-01-22 00:48:37,226.86,Cash,2168,Truth receive call how reduce memory claim. Wish simply carry be for head property agreement. Government clearly unit finally relate create phone myself.
3289,7007,4320,Buy,2020-07-14 03:51:01,155.91,Cash,3920,Create among read thing shake. Summer few administration grow standard lay theory officer. Shoulder if religious citizen become break.
4472,3260,6078,Redeem,2023-11-28 10:35:33,419.04,Debit Card,5995,"Month address able approach tend character kid.
Nation quality front computer really. Laugh gas direction. Marriage create remain quickly score. Respond management baby market."
2239,9828,4433,Redeem,2023-10-08 11:01:50,178.07,Cash,477,"Mean six ground sometimes.
Better least position different table why. Civil on those.
Single whose rather. Perhaps less call might small reach color. Throw southern determine pattern rich money."
3888,5472,2739,Buy,2023-06-28 02:49:27,339.65,Cash,1400,Create picture try very just well. Benefit fast talk new performance. That bill late nice arrive large movement else.
7048,8868,5037,Sell,2024-04-14 07:52:12,853.14,Cash,5141,"Resource many fly defense own. Hot try college citizen team visit.
Worry tree claim. Year order everyone foot down I.
Ball third usually even try. Military century dark tonight reason all."
4882,8100,6093,Redeem,2024-02-03 11:33:48,364.2,Credit Card,8743,"Box worker official national voice hear. Car happen we pick open.
Daughter part late. Tend choose finally manage better oil show. Stage range wife."
3825,9071,9887,Buy,2022-03-07 02:21:13,702.75,Debit Card,77,International want customer view. Chair onto three everyone government. Better hear firm drop billion coach direction.
1993,2256,2312,Sell,2022-01-23 10:52:40,54.28,Credit Card,6256,Color stock hand my food foot nearly. Traditional material role actually order treatment.
4083,1810,4116,Redeem,2022-05-05 21:33:19,212.53,Cash,3096,"Television finish player reason project while analysis.
Dog until senior center six. Increase success nothing realize upon forget. Short outside forward difference ago."
3404,2907,3004,Buy,2021-03-15 22:16:52,119.27,Debit Card,1679,Add dinner than walk candidate. Image house memory show citizen sort last. Campaign throw against miss.
9172,5241,5817,Sell,2020-07-26 09:19:29,409.69,Credit Card,7855,"Risk direction car create economy thank. Measure adult article reflect.
Character whatever pay available fire. Before manage win himself."
2255,2463,127,Pawn,2022-07-18 16:30:07,461.17,Credit Card,8315,"Play blood population entire expert everyone special impact.
Boy about including most thus image. Thank protect first result interview should. Thing describe arm sell style."
6736,1850,1306,Sell,2022-02-06 13:16:10,500.96,Credit Card,960,Very ability open write school wonder. Large onto government pressure material another point community. Court I matter make.
7635,3502,9043,Redeem,2023-11-25 05:39:41,821.26,Cash,4898,Opportunity see cup close rule certainly ask. Student audience store.
8376,4940,4667,Buy,2022-03-07 14:26:28,195.29,Credit Card,3623,Nice capital bit describe everyone treatment ahead from. Soldier consumer star notice machine detail road information.
3783,2021,5373,Pawn,2021-01-31 05:47:44,980.57,Debit Card,8105,"Left official return significant site teacher community. Exist remember deep very edge listen cup.
Pick despite behavior old able race final. Affect fall music always certain sign."
7016,1425,2082,Redeem,2021-11-02 11:43:13,700.19,Credit Card,6168,He identify its voice clearly federal culture. Become especially body evidence leave perform. Turn this side kitchen woman ever partner.
4777,1092,1787,Sell,2021-09-20 06:12:35,972.21,Cash,4868,"Stage situation help a effort let. Foot example eat fact figure. Center election series cold.
Politics college property phone suddenly. Report attention less rich half take strategy memory."
5806,3861,6608,Buy,2023-11-20 06:01:12,661.43,Debit Card,4392,"Late tough fund chair couple edge that during. Again account kind.
Dog news nation art artist size floor. Young play me right itself court."
7157,9923,6195,Sell,2022-04-28 17:34:00,176.33,Debit Card,2565,"Civil a morning next possible.
Mission certainly break drug many feeling interest. Brother outside however open level she worry. Real this soldier."
4368,9398,5121,Redeem,2022-07-01 15:38:32,222.2,Credit Card,2603,Deep plan must write control experience according. So occur analysis main. Account late fly simple number tend project late. Job need government song person use such.
8630,7733,7266,Sell,2023-12-15 15:29:48,802.2,Debit Card,735,"Sing yourself trip member network. Item husband another up.
Again door stop factor kind ahead give create.
Turn possible door. Energy a put physical town. Himself responsibility project dream."
9989,3956,4523,Pawn,2021-06-03 15:51:50,211.81,Credit Card,6407,"Change find wonder race. Scientist campaign field field ask huge pay.
Both create different present store baby company. Local whatever trip Republican. Six choose vote miss collection us perhaps."
6187,2357,9724,Buy,2021-08-08 13:06:13,818.51,Cash,2958,Also base network central seek me animal. Yet wind apply clearly Congress concern challenge. Just event natural several TV past.
1389,5117,1720,Buy,2023-05-15 15:42:00,986.85,Cash,7091,"Six theory chance near Republican personal.
Send little day box need establish. Feel may energy about.
Painting best company ball according partner imagine must."
2226,3639,3029,Sell,2023-07-20 10:40:28,699.05,Cash,1409,Add organization analysis by effort shake both test. Decide while window in study. Enjoy final reach face very put.
495,2025,187,Pawn,2022-03-05 17:08:36,562.82,Credit Card,5178,"Painting piece range large.
Administration hot today way there agreement available. Name single mean skill. Soldier film military vote former mission pay new."
9207,2531,5170,Sell,2022-10-22 08:20:21,420.18,Credit Card,8781,"Story big member compare. Respond finally sit than lay start game.
Pm strategy heavy per ahead newspaper reduce happen. Generation could dinner company here."
3147,2430,6365,Redeem,2023-07-11 07:59:26,250.81,Debit Card,67,"Learn certain decision player article yard find. Enough water activity thing.
Cold officer serious. Least already course federal still."
4195,764,9828,Buy,2022-08-13 20:23:52,802.51,Credit Card,6687,"Myself half account surface against say. Must actually including off. Blue age project air.
Store once think involve staff third. Stuff blood everything concern purpose order sure."
305,5423,1143,Redeem,2021-09-05 19:13:00,189.12,Credit Card,4099,"Attention benefit marriage interview participant deal. Performance front group how.
Shoulder however recently news whatever senior picture. Born girl color produce certainly."
5713,3123,9159,Redeem,2023-07-28 21:18:18,566.24,Credit Card,8588,"Even product thus out rich card. Reduce realize tend care rich. Ball history term line.
Hair dinner I until this dinner. There bed health describe. Left individual window business its."
8621,7745,9529,Sell,2021-04-05 19:39:58,963.51,Credit Card,2737,"Response before husband family address oil address.
Entire final agree cause. Art avoid individual use expert without. Loss level fight cause establish just various."
40,6669,5144,Pawn,2023-02-13 17:05:04,711.37,Debit Card,8494,Themselves account discover suddenly shake share information. Budget my senior try suddenly current two.
6018,45,1048,Sell,2022-04-25 12:22:58,505.98,Debit Card,5630,Back there campaign short set. Institution without employee possible. He require car run lay seem next design.
8723,7436,8524,Buy,2021-08-09 10:19:20,612.74,Credit Card,2291,"Check their interesting color early road. Bit try read vote instead environment.
Kitchen network stand door population certain collection. Full keep itself study behavior your."
6492,472,5862,Buy,2020-02-08 03:50:28,872.06,Debit Card,6220,"Child those focus understand order popular have. Million give perform ahead.
Responsibility too let sometimes. Country cost Mr development see to."
2987,5329,8956,Redeem,2023-03-19 01:21:29,464.73,Credit Card,3100,"Economy in such and effect. Theory chair draw nor ground trial. Trial contain position store.
Raise director recognize before project animal happen doctor. Reduce from himself build."
9977,9444,9569,Buy,2020-12-21 11:29:27,38.0,Debit Card,411,Will customer daughter probably three follow. Already get sport record. Leave look control.
2633,7976,2930,Pawn,2024-04-07 21:15:59,508.84,Credit Card,4889,Focus middle why rock series report. Science field like go water. If throughout teacher we Mrs cultural news.
4716,3339,2387,Pawn,2021-11-10 04:17:03,625.98,Credit Card,7219,"Born ball could as with. Father police special condition.
Standard on soldier may. Country energy nice might."
7465,5250,3097,Sell,2023-11-11 18:17:17,456.63,Debit Card,7823,"Despite much suggest table glass how. Short almost answer miss return turn thus player. Mrs similar respond political despite these game you.
Hard health same draw director space."
414,5193,8200,Buy,2022-01-06 19:58:45,384.31,Credit Card,8399,Determine must people wear your laugh direction. Hear baby same space process leave rather. Everybody police town third.
7315,9043,239,Sell,2021-09-25 07:53:24,458.78,Cash,1118,"Buy they per. Those yeah start effect Mrs.
Environment north interest something. Team bed program teach blue.
Feeling later operation least price rich."
9170,8589,7986,Pawn,2022-06-09 10:50:54,535.73,Credit Card,9969,Goal cost floor growth evening point. Open concern happen value individual idea memory. Religious usually guess forward.
4810,9795,420,Pawn,2023-03-24 21:18:22,520.37,Credit Card,6405,Different artist case then free. Use new my young recent matter impact possible. Organization activity onto decide both.
7894,2811,2623,Sell,2024-01-03 20:46:36,490.53,Debit Card,9314,"Board media hair law international use fact national. Woman face foot study. Bed hard part happen pay day others.
Huge stand any would."
8365,597,3532,Buy,2022-12-10 16:02:54,508.25,Debit Card,7971,Ever pay big all after writer nearly. Yard hear environmental fact unit which blood. Win newspaper property life reality. Full quality left generation small house far strong.
6637,6178,7108,Pawn,2023-10-06 04:50:02,658.9,Credit Card,8035,Cost source house yes stuff. Modern manage visit several bag specific cell whose. Movement who enjoy whether thing on red room. Break hotel they direction.
1543,1718,6177,Redeem,2022-08-28 09:29:38,207.83,Credit Card,7033,"Across trouble market game tree. Fill part box order.
Question east early program society fly bad note. Keep science argue there voice tonight Congress ever."
3731,6436,4177,Pawn,2020-12-14 23:52:24,709.77,Debit Card,1955,"Figure management nor rest. Development cause keep movement adult real. Factor number month international fall.
Unit table south story information pull. Many purpose soon."
578,1010,1497,Buy,2021-02-05 12:21:35,889.82,Cash,7227,"Free bad himself if. Century explain scientist role network tend member. Job leader once this woman yard network.
Experience go bed hope keep worker thus.
Ability each win customer cup difficult."
2323,7646,9293,Redeem,2023-09-27 13:44:12,765.28,Cash,264,"Until none born. Large sense night. Never news yourself huge however world early east.
Explain section between employee carry. Carry event base resource threat. Throw model general Republican."
2422,1703,9418,Buy,2021-06-08 19:07:46,89.05,Cash,5696,Like we other forward project benefit. Start expert support tonight.
4760,3212,6981,Buy,2023-08-17 12:32:38,290.7,Cash,3899,"Federal us kind myself within claim born.
Machine above trial stay statement institution last. Too care seem financial message happy product. Debate other beyond couple know financial type."
9763,4522,2220,Redeem,2020-09-08 10:19:09,279.5,Debit Card,2273,"He pay son unit hit six establish. Decade short front some real commercial.
Concern weight pass wrong. Various sport remain hair notice."
6862,6234,8895,Redeem,2021-04-16 01:49:33,800.2,Credit Card,5236,Movement final because leg already. Already yard party same tell bar. Class necessary song note heart understand.
7507,6140,7610,Sell,2023-05-13 23:10:36,663.26,Debit Card,7989,"Stuff each letter reflect improve sure. Mind attack stay drug. Seat finally practice seat evening.
Second smile culture early start. Just animal represent house right."
7794,6914,4874,Sell,2021-06-05 16:06:00,74.41,Cash,521,Test develop better trial if language stay. Wear sport city get later. Scientist land scientist security science marriage.
8442,4714,5494,Pawn,2021-12-03 04:13:37,789.37,Debit Card,8962,"Adult lead green car. Stay yes best commercial.
Energy true wide clearly culture human. Consider baby cold black unit. Already test car through girl."
1255,84,6270,Redeem,2023-02-23 02:51:59,235.09,Cash,3288,"Several language hour. May boy organization however product. Radio election religious nation.
Sound teacher message audience foot. Game difference arm wife."
7956,4191,9703,Pawn,2022-03-16 08:21:51,627.92,Credit Card,4349,"Dream however who risk. Same product team continue.
Hit management participant work popular. Policy discussion prepare them term face threat. Why morning cold rise three. Themselves pick model your."
7168,6963,4711,Pawn,2020-05-13 12:08:38,318.3,Cash,8554,"Cause camera kid heart put to. Record military probably character author.
Alone me nature week medical term wall second. Thank away few receive no my consumer."
9019,9364,8748,Redeem,2024-02-08 20:05:54,28.42,Credit Card,9743,"Prevent and last shake choose relate. Audience nature present improve admit whose call. Past too activity stock social.
Small quality among student owner most."
9936,7741,4639,Sell,2023-09-23 01:45:03,73.07,Debit Card,7208,Federal reason onto skin enjoy agent audience. Pay detail meeting spring image seven activity. Sometimes sometimes senior.
9885,175,6035,Redeem,2021-08-26 01:46:36,140.96,Debit Card,4897,"Step dog range but letter do program stock. Then network trip. Short knowledge various accept military thank.
Cup event appear action. West whether candidate."
